,Popular_cast,director_name,keywords,movie_genre,movie_id,overview,release_date,title
0,"['Tommy Lee Jones' 'Will Smith' 'Steven Spielberg' ""Vincent D'Onofrio""
 'Sylvester Stallone']",['Barry Sonnenfeld'],"['new york city' 'secret identity' 'undercover' 'space marine'
 'illegal immigration' 'deportation' 'new identity' 'giant cockroach'
 'cannon' 'flying saucer' 'stay permit' 'superhero' 'alien' 'buddy cop'
 'fictional government agency']",['Action' 'Adventure' 'Comedy' 'Science Fiction'],607.0,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.",1997-07-02,Men in Black
1,"['Sandra Bullock' 'Awkwafina' 'Dakota Fanning' 'Helena Bonham Carter'
 'Anne Hathaway']",['Gary Ross'],['new york city' 'heist' 'spin off' 'estranged sister' 'the met gala'],['Crime' 'Comedy' 'Action'],402900.0,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",2018-06-07,Ocean's Eight
2,"['Manuel Garcia-Rulfo' 'Josh Brolin' 'Isabela Merced' 'Matthew Modine'
 'Benicio del Toro']",['Stefano Sollima'],"['corruption' 'cia' 'sequel' 'rescue' 'shootout' 'explosion' 'brutality'
 'drugs' 'sign languages' 'cartel' 'neo-noir' 'mexican cartel']",['Action' 'Crime' 'Drama' 'Thriller'],400535.0,Agent Matt Graver teams up with operative Alejandro Gillick to prevent Mexican drug cartels from smuggling terrorists across the United States border.,2018-06-27,Sicario: Day of the Soldado
3,"['Anne Heche' 'Adam Baldwin' 'Tom Kenny' 'Swoosie Kurtz'
 'James Arnold Taylor']",['Lauren Montgomery' 'Bruce Timm' 'Brandon Vietti'],"['superhero' 'based on comic' 'super power' 'death' 'doomsday'
 'superhuman strength' 'woman director']",['Action' 'Animation' 'Science Fiction' 'Family'],13640.0,"When LexCorp accidentally unleashes a murderous creature, Superman meets his greatest challenge as a champion. Based on the ""The Death of Superman"" storyline that appeared in DC Comics' publications in the 1990s.",2007-09-18,Superman: Doomsday
4,"['Ana de Armas' 'Joseph Gordon-Levitt' 'Michael Shannon' 'Toni Collette'
 'Chris Evans']",['Rian Johnson'],"['detective' 'massachusetts' 'immigrant' 'big family' 'investigation'
 'mansion' 'whodunit' 'family home' 'murder mystery' 'neo-noir'
 'privilege']",['Comedy' 'Crime' 'Mystery'],546554.0,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",2019-11-27,Knives Out
5,"['Christina Milian' 'Sinqua Walls' 'Christiani Pitts' 'Jay Pharoah'
 'T.J. Power']",['Steven K. Tsuchida'],['paradise' 'love' 'singer' 'wedding'],['Romance' 'Comedy'],785539.0,Aspiring pop star Erica ends up as the entertainment at her ex-fiancé’s wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.,2021-07-29,Resort to Love
6,"['Colin Farrell' 'Bryan Cranston' 'Bill Nighy' 'Kate Beckinsale'
 'Bokeem Woodbine']",['Len Wiseman'],"['secret agent' 'dystopia' 'remake' 'machine gun' 'resistance fighter'
 'false memory' 'robot cop' 'suppression' 'rebel hero' 'safe deposit box'
 'british colonialism' 'smog' 'gatling gun' 'center of the earth'
 'implanted memory']",['Action' 'Science Fiction' 'Adventure' 'Thriller'],64635.0,"Welcome to Rekall, the company that can turn your dreams into real memories. For a factory worker named Douglas Quaid, even though he's got a beautiful wife who he loves, the mind-trip sounds like the perfect vacation from his frustrating life - real memories of life as a super-spy might be just what he needs. But when the procedure goes horribly wrong, Quaid becomes a hunted man. Finding himself on the run from the police - controlled by Chancellor Cohaagen, the leader of the free world - Quaid teams up with a rebel fighter to find the head of the underground resistance and stop Cohaagen. The line between fantasy and reality gets blurred and the fate of his world hangs in the balance as Quaid discovers his true identity, his true love, and his true fate.",2012-08-02,Total Recall
7,"['Elisha Cuthbert' 'Chad Michael Murray' 'Jared Padalecki'
 ""Robert Ri'chard"" 'Paris Hilton']",['Jaume Collet-Serra'],"['american football' 'louisiana' 'traffic jam' 'remake' 'murder'
 'wax museum' 'group of friends' 'ghost town' 'wax' 'waxwork']",['Horror' 'Thriller'],10066.0,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,2005-04-30,House of Wax
8,"['Robert Patrick' 'Arnold Schwarzenegger' 'Nikki Cox' 'Dean Norris'
 'Linda Hamilton']",['James Cameron'],"['cyborg' 'shotgun' 'villain' 'time travel' 'post-apocalyptic future'
 'dystopia' 'moral ambiguity' 'mental institution' 'fictional war'
 'urban setting' 'morphing' 'nuclear weapons' 'shape shifter' 'savior'
 'catch phrase' 'action hero' 'good versus evil' 'live action']",['Action' 'Thriller' 'Science Fiction'],280.0,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",1991-07-03,Terminator 2: Judgment Day
9,['Austin Abrams' 'Dean Norris' 'Gil Bellows' 'Javier Botet' 'Jane Moffat'],['André Øvredal'],"['based on novel or book' 'small town' 'scarecrow' 'halloween'
 'haunted house' 'family secrets' 'urban legend' 'racism'
 'high school friends' 'aspiring writer' 'draft dodger' '1960s'
 'folk horror']",['Horror' 'Thriller'],417384.0,"Mill Valley, Pennsylvania, Halloween night, 1968. After playing a joke on a school bully, Stella and her friends decide to sneak into a supposedly haunted house that once belonged to the powerful Bellows family, unleashing dark forces that they will be unable to control.",2019-08-08,Scary Stories to Tell in the Dark
10,['Austin Abrams' 'Dean Norris' 'Gil Bellows' 'Javier Botet' 'Jane Moffat'],['André Øvredal'],"['based on novel or book' 'small town' 'scarecrow' 'halloween'
 'haunted house' 'family secrets' 'urban legend' 'racism'
 'high school friends' 'aspiring writer' 'draft dodger' '1960s'
 'folk horror']",['Horror' 'Thriller'],298618.0,"Mill Valley, Pennsylvania, Halloween night, 1968. After playing a joke on a school bully, Stella and her friends decide to sneak into a supposedly haunted house that once belonged to the powerful Bellows family, unleashing dark forces that they will be unable to control.",2019-08-08,Scary Stories to Tell in the Dark
11,['Jason Statham' 'Benedict Wong' 'Agata Buzek' 'Danny Webb' 'Josef Altin'],['Steven Knight'],"['london, england' 'homeless person' 'chinese mafia' 'redemption'
 'criminal underworld' 'stolen identity' 'homeless']",['Action' 'Thriller'],136418.0,"Homeless and on the run from a military court martial, a damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity, transforming into an avenging angel in the process.",2013-05-07,Hummingbird
12,"['Jason Statham' 'Jason Alexander' 'Chris Browning' 'Milo Ventimiglia'
 'Sofía Vergara']",['Simon West'],['gambling' 'bodyguard' 'remake' 'las vegas'],['Thriller' 'Crime' 'Action'],265208.0,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing.",2015-01-14,Wild Card
13,['Brad Pitt' 'J.K. Simmons' 'Ben Stiller' 'David Cross' 'Justin Theroux'],['Tom McGrath'],"['saving the world' 'date' 'prison' 'secret identity' 'fish' 'gun' 'dna'
 'mayor' 'anti hero' 'rain' 'museum' 'one-sided love' 'superhero'
 'anthropomorphism' 'reporter' 'duringcreditsstinger' 'alien baby'
 'stronger villain' 'invincible']",['Animation' 'Action' 'Comedy' 'Family' 'Science Fiction'],38055.0,"Bumbling supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",2010-10-28,Megamind
14,"['Samara Weaving' 'Jai Courtney' 'Rhys Darby' 'Jane Lynch'
 'Ilai Swindells']",['Alexs Stadermann'],['poodle' 'teen angst' 'werewolf' 'acceptance'],['Animation' 'Family' 'Fantasy'],520946.0,"Freddy Lupin, heir to a proud family line of werewolves, is in for a shock when on his 14th birthday his first 'warfing' goes awry, turning him into a ferocious poodle. The pack elders give Freddy until the next moonrise to prove he has the heart of a wolf, or risk being cast out forever. With the help of an unlikely ally in a streetwise stray named Batty, Freddy must prove he's 100% Wolf.",2020-06-26,100% Wolf
15,"['Lauren German' 'Daryl Hannah' 'Mandy Moore' 'Clayne Crawford'
 'Shane West']",['Adam Shankman'],"['based on novel or book' 'theatre group' 'north carolina' 'high school'
 'romance' 'cancer' 'coming of age' 'tragic love' 'star crossed lovers'
 'teen drama']",['Drama' 'Romance'],10229.0,"When the popular, restless Landon Carter is forced to participate in the school drama production he falls in love with Jamie Sullivan, the daughter of the town's minister. Jamie has a ""to-do"" list for her life and also a very big secret she must keep from Landon.",2002-01-25,A Walk to Remember
16,['Emma Berman' 'Maisie Benson' 'Kerry Gudjohnsen' 'Paul Killam'],[],[],['Animation' 'Family'],876576.0,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2021-09-21,Go! Go! Cory Carson: Chrissy Takes the Wheel
17,"['Antje Traue' 'Alicia Vikander' 'Jeff Bridges' 'Julianne Moore'
 'Ben Barnes']",['Sergei Bodrov'],"['based on novel or book' 'magic' 'chosen one' 'witch hunt' 'dark fantasy'
 'evil witch' 'sword and sorcery' 'based on young adult novel']",['Adventure' 'Fantasy'],68737.0,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?",2014-12-12,Seventh Son
18,"['Karen Gillan' 'Jack Black' 'Dwayne Johnson' 'Tait Fletcher'
 'Marin Hinkle']",['Jake Kasdan'],"['video game' 'sequel' 'jungle' 'game' 'explorer' 'action hero'
 'zoologist' 'based on young adult novel']",['Adventure' 'Action' 'Comedy' 'Fantasy'],353486.0,"The tables are turned as four teenagers are sucked into Jumanji's world - pitted against rhinos, black mambas and an endless variety of jungle traps and puzzles. To survive, they'll play as characters from the game.",2017-12-09,Jumanji: Welcome to the Jungle
19,"['Chloë Grace Moretz' 'Benedict Wong' 'Ella Purnell' 'Jim Carrey'
 'Aaron Taylor-Johnson']",['Jeff Wadlow'],"['crime fighter' 'secret identity' 'superhero' 'based on comic'
 'aftercreditsstinger' 'teen superhero']",['Action' 'Adventure' 'Crime'],59859.0,"After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.",2013-07-17,Kick-Ass 2
20,"['Jean Reno' 'Temuera Morrison' 'Jon Favreau' 'Vince Vaughn'
 'Kristen Bell']",['Peter Billingsley'],"['island' 'married couple' 'tahiti' 'couples therapy' 'love'
 'beautiful woman' 'divorce' 'divorcee' 'tropical' 'aftercreditsstinger'
 'duringcreditsstinger' 'french polynesia']",['Comedy' 'Romance'],19899.0,"Four couples, all friends, descend on a tropical island resort. Though one husband and wife are there to work on their marriage, the others just want to enjoy some fun in the sun. They soon find, however, that paradise comes at a price: Participation in couples therapy sessions is mandatory. What started out as a cut-rate vacation turns into an examination of the common problems many face.",2009-09-19,Couples Retreat
21,"['Adolf Hitler' 'Timothy Bottoms' 'Elias McConnell' 'Carrie Finklea'
 'Matt Malloy']",['Gus Van Sant'],"['video game' 'gun' 'classroom' 'mass murder' 'portland, oregon'
 'girlfriend' 'columbine' 'violence in schools' 'school' 'gun violence'
 'school shooting' 'day in a life' 'shooting']",['Crime' 'Drama'],1807.0,Several ordinary high school students go through their daily routine as two others prepare for something more malevolent.,2003-09-20,Elephant
22,"['Brooke Burns' 'Bruce Davison' 'Shane van Dyke' 'Dylan Vox'
 'D.C. Douglas']",['Shane van Dyke'],[],['Action' 'Adventure' 'Thriller'],44918.0,"On the 100th anniversary of the original voyage, a modern luxury liner christened ""Titanic 2,"" follows the path of its namesake. But when a tsunami hurls an ice berg into the new ship's path, the passengers and crew must fight to avoid a similar fate.",2010-08-07,Titanic II
23,"['Sydney Sweeney' 'Natasha Liu Bordizzo' 'Justice Smith' 'Ben Hardy'
 'Marie Westbrook']",['Michael Mohan'],"['sexual obsession' 'photographer' 'infidelity' 'eroticism' 'spying'
 'montreal, canada' 'moving in' 'voyeurism' 'new apartment'
 'ophthalmologist' 'peeping' 'neighbors']",['Thriller'],645710.0,"When Pippa and Thomas move into their dream apartment, they notice that their windows look directly into the apartment opposite – inviting them to witness the volatile relationship of the attractive couple across the street. But what starts as a simple curiosity turns into full-blown obsession with increasingly dangerous consequences.",2021-08-25,The Voyeurs
24,"['Tress MacNeille' 'John DiMaggio' 'Jeff Bennett' 'Tom Kenny'
 'Rob Paulsen']",['Bill Kopp'],"['car race' 'cartoon' 'parody' 'racing' 'anthropomorphism' 'animal'
 'race car']",['Family' 'Animation' 'Comedy' 'Action' 'Adventure'],42246.0,"After being evicted from their old house by Tom's owner for causing major damage, cat and mouse Tom and Jerry enter a race entitled the ""Fabulous Super Race"" to win a mansion.",2005-10-11,Tom and Jerry: The Fast and the Furry
25,"['Justin Fletcher' 'Andy Nyman' 'Emma Tate' 'Simon Greenall'
 'Kate Harbour']",['Steve Cox'],[],['Animation' 'Comedy' 'Family'],785545.0,Shaun's seasonal excitement turns to dismay when a farmhouse raid to get bigger stockings for the flock inadvertently leads to Timmy going missing. Can Shaun get Timmy back before he becomes someone else’s present?,2021-12-03,Shaun the Sheep: The Flight Before Christmas
26,"['Dacre Montgomery' 'Naomi Scott' 'Bryan Cranston' 'Elizabeth Banks'
 'RJ Cyler']",['Dean Israelite'],"['spacecraft' 'super power' 'superhero team' 'lgbt' 'reboot'
 'ethnic diversity']",['Science Fiction' 'Action' 'Adventure'],305470.0,"Saban's Power Rangers follows five ordinary teens who must become something extraordinary when they learn that their small town of Angel Grove — and the world — is on the verge of being obliterated by an alien threat. Chosen by destiny, our heroes quickly discover they are the only ones who can save the planet. But to do so, they will have to overcome their real-life issues and before it’s too late, band together as the Power Rangers.",2017-03-23,Power Rangers
