,Popular_cast,director_name,keywords,movie_genre,movie_id,overview,release_date,title
0,"['Mads Mikkelsen', 'Eddie Redmayne', 'Jude Law', 'Ezra Miller', 'Callum Turner']",['David Yates'],"['curse', 'wizard', '1930s']","['Fantasy', 'Adventure', 'Action']",338953.0,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",2022-04-06,Fantastic Beasts: The Secrets of Dumbledore
1,"['Channing Tatum', 'Daniel Radcliffe', 'Brad Pitt', 'Sandra Bullock', 'Stephen Lang']","['Adam Nee', 'Aaron Nee']",['duringcreditsstinger'],"['Action', 'Adventure', 'Comedy']",752623.0,"A reclusive romance novelist was sure nothing could be worse than getting stuck on a book tour with her cover model until a kidnapping attempt sweeps them both into a cutthroat jungle adventure, proving life can be so much stranger, and more romantic, than any of her paperback fictions.",2022-03-24,The Lost City
2,"['Jared Leto', 'Adria Arjona', 'Michael Keaton', 'Matt Smith', 'Jared Harris']",['Daniel Espinosa'],"['vampire', 'based on comic']","['Action', 'Science Fiction', 'Fantasy']",526896.0,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",2022-03-30,Morbius
3,"['James Marsden', 'Jim Carrey', 'Ben Schwartz', 'Shemar Moore', 'Idris Elba']",['Jeff Fowler'],"['sequel', 'based on video game', 'hedgehog', 'live action and animation']","['Action', 'Adventure', 'Family', 'Comedy']",675353.0,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",2022-03-30,Sonic the Hedgehog 2
4,"['Liam Neeson', 'Monica Bellucci', 'Guy Pearce', 'Taj Atwal', 'Ray Stevenson']",['Martin Campbell'],"['assassin', 'remake']","['Action', 'Thriller', 'Crime']",818397.0,"Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.",2022-04-28,Memory
5,"['Alexander Skarsgård', 'Ethan Hawke', 'Anya Taylor-Joy', 'Willem Dafoe', 'Nicole Kidman']",['Robert Eggers'],"['sword', 'father murder', 'prince', 'iceland', 'viking', 'northern ireland', 'revenge', 'death of father', 'fate', 'king', 'brutality', 'hamlet', 'nordic', '10th century', 'viking age', 'graphic violence', 'based on legend']","['Action', 'Adventure', 'Fantasy']",639933.0,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",2022-04-07,The Northman
6,"['Chris Pratt', 'Bryce Dallas Howard', 'Sam Neill', 'Isabella Sermon', 'Jeff Goldblum']",['Colin Trevorrow'],"['giant monster', 'dinosaur', 'jurassic']","['Science Fiction', 'Action', 'Adventure', 'Thriller']",507086.0,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures.",2022-06-01,Jurassic World Dominion
7,"['Tom Holland', 'Mark Wahlberg', 'Sophia Ali', 'Tati Gabrielle', 'Rudy Pankow']",['Ruben Fleischer'],"['treasure', 'treasure hunt', 'based on video game', 'dlb']","['Action', 'Adventure']",335787.0,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",2022-02-10,Uncharted
8,"['Xochitl Gomez', 'Benedict Cumberbatch', 'Charlize Theron', 'Hayley Atwell', 'John Krasinski']",['Sam Raimi'],"['magic', 'based on comic', 'alternate reality', 'marvel cinematic universe (mcu)', 'multiverse']","['Fantasy', 'Action', 'Adventure']",453395.0,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",2022-05-04,Doctor Strange in the Multiverse of Madness
9,"['Tom Holland', 'Tom Hardy', 'Andrew Garfield', 'Benedict Cumberbatch', 'J.K. Simmons']",['Jon Watts'],"['new york city', 'loss of loved one', 'showdown', 'secret identity', 'hero', 'magic', 'villain', 'vigilante', 'portal', 'sequel', 'superhero', 'based on comic', 'alternate reality', 'masked vigilante', 'nostalgic', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'teenage hero', 'multiverse', 'alternate universe', 'crossover', 'teamwork']","['Action', 'Adventure', 'Science Fiction']",634649.0,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2021-12-15,Spider-Man: No Way Home
10,"['Paul Dano', 'Zoë Kravitz', 'Barry Keoghan', 'Robert Pattinson', 'Colin Farrell']",['Matt Reeves'],"['crime fighter', 'secret identity', 'nightclub', 'politician', 'police', 'psychopath', 'vigilante', 'superhero', 'based on comic', 'organized crime', 'serial killer', 'millionaire', 'social injustice', 'murder investigation', 'masked superhero', 'political corruption', 'neo-noir', 'vengeance', 'mayoral election']","['Crime', 'Mystery', 'Thriller']",414906.0,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",2022-03-01,The Batman
11,"['Sandra Oh', 'Jordan Fisher', 'Sasha Roiz', 'James Hong', 'Ian James Corlett']",['Domee Shi'],"['canada', 'shapeshifting', 'temple', 'toronto, canada', 'concert', 'friendship', 'panda', 'coming of age', 'teenage girl', 'female protagonist', 'animal', 'domineering mother', 'perfectionist', 'aftercreditsstinger', 'chinese canadian', 'woman director', 'ancestor', 'boy band', 'mother daughter relationship']","['Animation', 'Family', 'Comedy', 'Fantasy']",508947.0,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",2022-03-10,Turning Red
12,"['Bruce Willis', 'Frank Grillo', 'Johnny Messner', 'Leon', 'Brooke Butler']",['Wes Miller'],[],"['Action', 'Thriller', 'Crime']",864116.0,"A disgraced parole officer is indebted to a local gang leader and forced to pull off a series of dangerous drug heists within twelve hours in order to pay the $2 million dollars he owes, rescue his kidnapped pregnant wife, and settle a score with the city's corrupt police chief, who is working with the gang leader and double-crossed him years ago.",2022-03-04,A Day to Die
13,"['María Gabriela de Faría', 'Joseph Marcell', 'Irán Castillo', 'Will Beinbrink', 'Hector Kotsifakis']",['Alejandro Hidalgo'],"['prison', 'mexico', 'small town', 'exorcism', 'possession', 'possessed', 'exorcist']",['Horror'],836225.0,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",2022-02-10,The Exorcism of God
14,"['Chris Pine', 'Eddie Marsan', 'Gillian Jacobs', 'Ben Foster', 'Kiefer Sutherland']",['Tarik Saleh'],"['mission', 'veteran']","['Action', 'Thriller']",628900.0,"After being involuntarily discharged from the U.S. Special Forces, James Harper decides to support his family by joining a private contracting organization alongside his best friend and under the command of a fellow veteran. Overseas on a covert mission, Harper must evade those trying to kill him while making his way back home.",2022-03-10,The Contractor
15,"['Awkwafina', 'Zazie Beetz', 'Craig Robinson', 'Sam Rockwell', 'Anthony Ramos']",['Pierre Perifel'],['based on graphic novel'],"['Animation', 'Comedy', 'Family', 'Crime']",629542.0,"When the infamous Bad Guys are finally caught after years of countless heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",2022-03-17,The Bad Guys
16,"['Andy Samberg', 'J.K. Simmons', 'Paul Rudd', 'Seth Rogen', 'Will Arnett']",['Akiva Schaffer'],"['peter pan', 'cartoon', 'los angeles, california', 'former best friend', 'missing person', 'live action and animation', 'bootleg', 'corrupt cop']","['Animation', 'Family', 'Comedy', 'Adventure', 'Mystery']",420821.0,"Decades after their successful television series was canceled, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again when a former cast mate mysteriously disappears.",2022-05-18,Chip 'n Dale: Rescue Rangers
17,"['Patrick Wilson', 'Michael Peña', 'Donald Sutherland', 'Katy Breier', 'Halle Berry']",['Roland Emmerich'],"['moon', 'end of the world', 'disaster', 'apocalypse', 'armageddon']","['Science Fiction', 'Adventure', 'Action']",406759.0,A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,2022-02-03,Moonfall
18,"['Mads Mikkelsen', 'Chris Hemsworth', 'Benedict Cumberbatch', 'Benedict Wong', 'Tilda Swinton']",['Scott Derrickson'],"['magic', 'time', 'training', 'superhero', 'based on comic', 'sorcerer', 'doctor', 'neurosurgeon', 'wizard', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)']","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",284052.0,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",2016-10-25,Doctor Strange
19,"['Moses Ingram', 'Jake Gyllenhaal', 'Eiza González', 'Garret Dillahunt', 'Yahya Abdul-Mateen II']",['Michael Bay'],"['ambulance', 'remake', 'car crash', 'officer involved shooting', 'los angeles, california', 'bank robbery', 'veteran', 'heist gone wrong', 'bank heist', 'police helicopter', 'brother brother relationship', 'car chase']","['Action', 'Thriller', 'Crime']",763285.0,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.",2022-03-16,Ambulance
20,"['Jennifer Connelly', 'Val Kilmer', 'Glen Powell', 'Tom Cruise', 'Monica Barbaro']",['Joseph Kosinski'],"['fighter pilot', 'sequel', 'military']","['Action', 'Drama']",361743.0,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen. Facing an uncertain future and confronting the ghosts of his past, Maverick is drawn into a confrontation with his own deepest fears, culminating in a mission that demands the ultimate sacrifice from those who will be chosen to fly it.",2022-05-24,Top Gun: Maverick
21,"['Mark Rylance', 'Zoey Deutch', ""Dylan O'Brien"", 'Johnny Flynn', 'Nikki Amuka-Bird']",['Graham Moore'],"['chicago, illinois', 'murder', 'organized crime', 'mobster', 'killer', 'double cross', 'tailor', 'one night', '1950s', 'single-set', 'gangsters']","['Crime', 'Drama', 'Thriller']",799876.0,"Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.",2022-02-25,The Outfit
22,"['Samara Weaving', 'Amaury Nolasco', 'Marisol Nichols', 'Eugenio Derbez', 'Diany Rodriguez']",['Richard Wong'],['remake'],['Comedy'],810171.0,"World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover, Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.",2022-05-11,The Valet
23,"['Stephanie Beatriz', 'John Leguizamo', 'Wilmer Valderrama', 'Maluma', 'Rhenzy Feliz']","['Byron Howard', 'Jared Bush']","['sadness', 'immigration', 'magic', 'strong woman', 'beauty', 'musical', 'big family', 'forest', 'supernatural', 'family secrets', 'flamenco', 'family relationships', 'teenage girl', 'female protagonist', 'joy of life', 'family conflict', 'helping children', 'matriarch', 'colombia', 'strong female characters']","['Animation', 'Comedy', 'Family', 'Fantasy']",568124.0,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",2021-11-24,Encanto
24,"['Bruce Willis', 'Kelly Greyson', 'Chad Michael Murray', 'Jesse Metcalfe', 'Natali Yura']",['Josh Sternfeld'],[],"['Crime', 'Action']",883502.0,"Weeks after the deadly assault on Fortress Camp, Robert makes a daring rescue to save Sasha, the widow of his old nemesis Balzary. But back in the camp's command bunker, it appears Sasha may have devious plans of her own. As a new attack breaks out, Robert is confronted with a familiar face he thought he'd never see again…",2022-04-29,Fortress: Sniper's Eye
25,"['Laurie Holden', 'Kenneth Branagh', 'Olivia Cooke', 'William Shatner', 'Maya Misaljevic']","['Laurent Zeitoun', 'Theodore Anthony Lee Ty']","['new york city', 'fire brigade', '1920s', 'fireman']","['Animation', 'Comedy', 'Family']",778810.0,The film explores the world of firefighters in 1920s New York City and tells the story of a 16-year-old girl who will have to become a hero in order to save her city.,2022-01-16,Fireheart
26,"['Bruce Willis', 'Devon Sawa', 'Luke Wilson', 'Kat Foster', 'Kenny Wormald']",['Edward Drake'],[],"['Action', 'Thriller', 'Crime', 'Mystery']",916821.0,"A man implicated in the triple homicide of three Hollywood starlets begins his own investigation. Needing assistance, he enlists the two detectives on his tail in order to expose a conspiracy more explosive than any of them imagined.",2022-02-25,Gasoline Alley
27,"['Arnold Vosloo', 'Elani Dekker', 'Jacques Gombault', 'Thabo Rametsi', 'Clayton Boyd']","['Mandlakayise Walter Dube, Jr.']",[],"['Action', 'Crime', 'Drama']",951470.0,"After a failed sabotage mission, a trio of anti-apartheid freedom fighters ends up in a tense bank hostage situation. Based on a true story.",2022-04-27,Silverton Siege
28,"['Chris Pratt', 'Bryce Dallas Howard', 'Judy Greer', ""Vincent D'Onofrio"", 'BD Wong']",['Colin Trevorrow'],"['dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'animal attack', 'primal fear', 'sequel', 'disaster', 'escape', 'dinosaur', 'creature', 'park', 'amusement park', 'theme park', 'genetic engineering', 'raptor', 'animal horror', 'raptors']","['Action', 'Adventure', 'Science Fiction', 'Thriller']",135397.0,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",2015-06-06,Jurassic World
29,"['Anna-Maria Sieklucka', 'Michele Morrone', 'Tomasz Mandes', 'Magdalena Lamparska', 'Blanka Lipińska']","['Barbara Bialowas', 'Tomasz Mandes']","['gangster', 'sequel', 'bdsm', 'rich man poor woman', 'erotique']","['Romance', 'Drama']",829557.0,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",2022-04-27,365 Days: This Day
30,"['Andy Samberg', 'Steve Buscemi', 'David Spade', 'Kathryn Hahn', 'Debra Wilson']","['Derek Drymon', 'Jennifer Kluska']","['monster', 'vampire', 'transformation', 'human']","['Animation', 'Family', 'Fantasy', 'Comedy', 'Adventure']",585083.0,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",2022-02-25,Hotel Transylvania: Transformania
31,"['Chris Pine', 'Jonathan Pryce', 'Laurence Fishburne', 'Thandiwe Newton', 'David Dawson']",['Janus Metz'],"['spy', 'cia', 'based on novel or book', 'conspiracy', 'espionage', 'vienna, austria', 'former lovers']","['Thriller', 'Action']",294793.0,"When the CIA discovers one of its agents leaked information that cost more than 100 people their lives, veteran operative Henry Pelham is assigned to root out the mole with his former lover and colleague Celia Harrison.",2022-04-08,All the Old Knives
32,"['Tom Holland', 'Tom Hardy', 'J.K. Simmons', 'Woody Harrelson', 'Naomie Harris']",['Andy Serkis'],"['hero', 'anti hero', 'villain', 'sequel', 'superhero', 'based on comic', 'aftercreditsstinger', 'symbiote']","['Science Fiction', 'Action', 'Adventure']",580489.0,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",2021-09-30,Venom: Let There Be Carnage
33,"['Kat Graham', 'Merritt Patterson', 'Sebastian Roché', 'Roger Cross', 'Cardi Wong']",['Ernie Barbarash'],['erotic movie'],['Thriller'],928270.0,A woman's life takes an unexpected turn when she falls for her boss's wife. She must soon defend herself as she becomes entangled in a web of malice.,2022-01-17,Heatwave
34,"['Chris Pratt', 'Bryce Dallas Howard', 'Ted Levine', 'Isabella Sermon', 'Jeff Goldblum']",['J. A. Bayona'],"['tyrannosaurus rex', 'volcano', 'sequel', 'rescue mission', 'wild animal', 'dinosaur', 'genetic engineering', 'prehistoric creature', 'aftercreditsstinger', 'monster island']","['Action', 'Adventure', 'Science Fiction']",351286.0,"Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on Isla Nublar. So, Claire Dearing recruits Owen Grady to help prevent the extinction of the dinosaurs once again.",2018-06-06,Jurassic World: Fallen Kingdom
35,"['Liam Neeson', 'Aidan Quinn', 'Claire van der Boom', 'Taylor John Smith', 'Yael Stone']",['Mark Williams'],[],"['Action', 'Thriller']",823625.0,Travis Block is a shadowy Government agent who specializes in removing operatives whose covers have been exposed. He then has to uncover a deadly conspiracy within his own ranks that reaches the highest echelons of power.,2022-02-10,Blacklight
36,"['Tara Strong', 'Grey DeLisle', 'Nicole Sullivan', 'Cree Summer', 'Missi Pyle']","['Matt Peters', 'Katie Rice']","['dc comics', 'multiverse']","['Animation', 'Action', 'Comedy']",913205.0,"With the help of an ancient Kryptonian power, Lex Luthor unites the world’s Super-Villains to capture all of Earth's Super Heroes, until…only the DC Super Hero Girls are left to stop the Legion of Doom. Our heroes must cross dimensions to rescue their fellow Super Heroes from the Phantom Zone, but a fortuitous wrong turn leads them to Titans Tower – where they find much-needed allies in the Teen Titans!",2022-05-23,Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse
37,"['Val Kilmer', 'Tom Cruise', 'Anthony Edwards', 'Kelly McGillis', 'Tom Skerritt']",['Tony Scott'],"['loss of loved one', 'lovesickness', 'fighter pilot', 'self-discovery', 'pilot', 'dying and death', 'training camp', 'air force', 'airplane', 'dangerous', 'battle assignment', 'u.s. navy', 'hostility', 'secret love', 'cowardliness', 'pilot school']","['Action', 'Drama', 'Adventure']",744.0,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",1986-05-16,Top Gun
38,"['Angourie Rice', 'Alicia Silverstone', 'Mary Holland', 'Zoe Chao', 'Rebel Wilson']",['Alex Hardcastle'],"['coma', 'cheerleader', 'high school', 'prom', 'school', '1990s', '2000s']",['Comedy'],800937.0,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen. The main plot is the empowerment of LGBTQ rights and progress through the years.,2022-05-11,Senior Year
39,"['John Leguizamo', 'Adriana Barraza', 'Ramiro Meneses', 'Álvaro Rodríguez', 'Hernán Méndez']",['Harold Trompetero'],[],"['Crime', 'Drama']",845885.0,"A father is imprisoned after committing a brutal revenge crime. During his confinement he must adapt to a new life of abuse, including injury and humiliation by guards and other prisoners.",2021-09-05,Dark Blood
40,"['Mollie Hindle', 'Nicola Wright', 'Michaela Longden', 'Erina Mashate', 'Jason Farries']",['Lawrence Fowler'],"['clown', 'sequel', 'evil clown', 'jack in the box']",['Horror'],801071.0,"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.",2022-02-24,The Jack in the Box: Awakening
41,"['Utkarsh Ambudkar', 'Simon Pegg', 'Dominique Jennings', 'Justina Machado', 'Vincent Tong']",['John C. Donkin'],"['ice age', 'snow', 'spin off', 'polar adventure']","['Animation', 'Comedy', 'Adventure', 'Family']",774825.0,The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,2022-01-28,The Ice Age Adventures of Buck Wild
42,"['Scarlett Johansson', 'Reese Witherspoon', 'Debra Wilson', 'Fisher Stevens', 'Taron Egerton']",['Garth Jennings'],"['stage', 'anthropomorphism', 'singing', 'animal']","['Animation', 'Comedy', 'Family', 'Music']",438695.0,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2021-12-01,Sing 2
43,"['Ryan Reynolds', 'Lucie Guest', 'Zoe Saldana', 'Catherine Keener', 'Mark Ruffalo']",['Shawn Levy'],"['time travel', 'escape', 'explore']","['Action', 'Adventure', 'Comedy', 'Science Fiction']",696806.0,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future.",2022-03-11,The Adam Project
44,"['Dennis Haysbert', 'Dale Dickey', 'Danny Ramirez', 'James Gaylyn', 'Havana Rose Liu']",['Damien Power'],"['based on novel or book', 'winter', 'isolation', 'blizzard', 'child kidnapping', 'college student']","['Horror', 'Thriller']",833425.0,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",2022-02-25,No Exit
45,"['Barry Keoghan', 'Bill Skarsgård', 'Richard Madden', 'Angelina Jolie', 'Lia McHugh']",['Chloé Zhao'],"['supernatural', 'superhero', 'based on comic', 'alien', 'super power', 'marvel cinematic universe (mcu)', 'sign languages', 'ancient', 'god-like']","['Science Fiction', 'Action', 'Adventure', 'Fantasy']",524434.0,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",2021-11-03,Eternals
46,"['Adam Demos', 'Victoria Justice', 'Luca Sardelis', 'Lucy Durack', 'Veronica Neave']",['Stuart McDonald'],['sheep ranch'],"['Comedy', 'Romance']",934761.0,"To land a major client, an LA wine exec travels to an Australian sheep station, where she signs on as a ranch hand and hits it off with a rugged local.",2022-05-19,A Perfect Pairing
47,"['Alicia Silverstone', ""Deirdre O'Connell"", 'Danny Chung', 'Jennifer Mudge', 'James Tupper']",['Lê Văn Kiệt'],[],['Thriller'],803114.0,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",2022-01-28,The Requin
48,"['Noel Gugliemi', 'William Baldwin', 'Arie Thompson', 'Jack Pearson', 'Bradford Haynes']",['Maximilian Elfeldt'],"['extraterrestrial', 'alien', 'alien attack', 'annihilation', 'world war']","['Science Fiction', 'Action']",919689.0,A mother and son find themselves faced with a brutal alien invasion where survival will depend on discovering the unthinkable truth about the enemy.,2021-12-22,War of the Worlds: Annihilation
49,"['Johnny Depp', 'Penélope Cruz', 'Stephen Graham', 'Sam Claflin', 'Ian McShane']",['Rob Marshall'],"['england', 'spain', 'sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', '18th century', 'aftercreditsstinger', 'blackbeard', '1750s']","['Adventure', 'Action', 'Fantasy']",1865.0,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",2011-05-14,Pirates of the Caribbean: On Stranger Tides
50,"['Michelle Yeoh', 'Awkwafina', 'Benedict Wong', 'Stephanie Hsu', 'Brie Larson']",['Destin Daniel Cretton'],"['martial arts', 'superhero', 'based on comic', 'mixed martial arts', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'stereoscopic', '3d']","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",566525.0,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,2021-09-01,Shang-Chi and the Legend of the Ten Rings
51,"['Johnny Depp', 'Bill Nighy', 'Jonathan Pryce', 'Naomie Harris', 'Keira Knightley']",['Gore Verbinski'],"['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'east india company', 'compass', 'ship', 'daughter', 'sword fight', 'pirate', 'cannibal', 'swashbuckler', 'kraken', 'aftercreditsstinger', 'based on theme park ride']","['Adventure', 'Fantasy', 'Action']",58.0,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,2006-07-06,Pirates of the Caribbean: Dead Man's Chest
52,"['Kaya Scodelario', 'Robbie Amell', 'Neal McDonough', 'Hannah John-Kamen', 'Tom Hopper']",['Johannes Roberts'],"['mutant', 'biological weapon', 'quarantine', 'zombie', 'based on video game', 'reboot']","['Horror', 'Action', 'Science Fiction']",460458.0,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",2021-11-24,Resident Evil: Welcome to Raccoon City
53,"['Jenna Ortega', 'Neve Campbell', 'Matthew Lillard', 'Courteney Cox', 'Jack Quaid']","['Matt Bettinelli-Olpin', 'Tyler Gillett']","['attempted murder', 'mask', 'hallucination', 'murder', 'serial killer', 'hospital', 'slasher', 'whodunit', 'killing spree', 'hometown', 'reboot', 'crime spree', 'murder mystery', 'fandom', 'copycat killer', 'murder spree', 'sister sister relationship', 'metacinema', 'retired cop', 'return to hometown']","['Horror', 'Mystery', 'Thriller']",646385.0,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",2022-01-12,Scream
